Nome,ID,Genere,Popolarità,Followers,Spotify URL,Nazionalità
Johnny Western,1pzbcKgYA9HtiKRFeodTNV,cowboy western,22,1416,"<a href=""https://open.spotify.com/artist/1pzbcKgYA9HtiKRFeodTNV"" target=""_blank"">https://open.spotify.com/artist/1pzbcKgYA9HtiKRFeodTNV</a>",Giapponese
E-girls,6CKN3GUiWMrESH1RKn3ecz,j-idol,43,484227,"<a href=""https://open.spotify.com/artist/6CKN3GUiWMrESH1RKn3ecz"" target=""_blank"">https://open.spotify.com/artist/6CKN3GUiWMrESH1RKn3ecz</a>",Giapponese
King Gnu,6wxfx1yhyqjCPYwwxJktR2,j-pop,70,3017595,"<a href=""https://open.spotify.com/artist/6wxfx1yhyqjCPYwwxJktR2"" target=""_blank"">https://open.spotify.com/artist/6wxfx1yhyqjCPYwwxJktR2</a>",Giapponese
Kana Nishino,4DDoAL8n6ob19r3jOZEbJI,j-pop,57,1565735,"<a href=""https://open.spotify.com/artist/4DDoAL8n6ob19r3jOZEbJI"" target=""_blank"">https://open.spotify.com/artist/4DDoAL8n6ob19r3jOZEbJI</a>",Giapponese
Masaharu Fukuyama,5FGlhIQqewJRV8fx24toG0,classic j-pop,49,863654,"<a href=""https://open.spotify.com/artist/5FGlhIQqewJRV8fx24toG0"" target=""_blank"">https://open.spotify.com/artist/5FGlhIQqewJRV8fx24toG0</a>",Giapponese
Aimer,0bAsR2unSRpn6BQPEnNlZm,anime,63,2367867,"<a href=""https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm"" target=""_blank"">https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm</a>",Giapponese
Superfly,5M8AXrOifBT8elkLKbGPQZ,j-pop,53,1438311,"<a href=""https://open.spotify.com/artist/5M8AXrOifBT8elkLKbGPQZ"" target=""_blank"">https://open.spotify.com/artist/5M8AXrOifBT8elkLKbGPQZ</a>",Giapponese
Aqours,6zxQda06WxXX8GmCeYstwV,anime,41,120223,"<a href=""https://open.spotify.com/artist/6zxQda06WxXX8GmCeYstwV"" target=""_blank"">https://open.spotify.com/artist/6zxQda06WxXX8GmCeYstwV</a>",Giapponese
BUMP OF CHICKEN,0hSFeqPehe7FtCNWuQ6Bsy,j-pop,58,1122945,"<a href=""https://open.spotify.com/artist/0hSFeqPehe7FtCNWuQ6Bsy"" target=""_blank"">https://open.spotify.com/artist/0hSFeqPehe7FtCNWuQ6Bsy</a>",Giapponese
Daichi Miura,4UTEZqrPqLDOhBfraPNciJ,j-pop,46,513450,"<a href=""https://open.spotify.com/artist/4UTEZqrPqLDOhBfraPNciJ"" target=""_blank"">https://open.spotify.com/artist/4UTEZqrPqLDOhBfraPNciJ</a>",Giapponese
AKB48,01wau5CL3Z1vfJJWkzBkqg,48g,52,451500,"<a href=""https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg"" target=""_blank"">https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg</a>",Giapponese
YUZU,7lNFzeAXmSIKexINNgO6bu,j-acoustic,52,1777227,"<a href=""https://open.spotify.com/artist/7lNFzeAXmSIKexINNgO6bu"" target=""_blank"">https://open.spotify.com/artist/7lNFzeAXmSIKexINNgO6bu</a>",Giapponese
Kyary Pamyu Pamyu,7Gh6fW49xfXLP8DTWaLVJP,j-idol,47,458517,"<a href=""https://open.spotify.com/artist/7Gh6fW49xfXLP8DTWaLVJP"" target=""_blank"">https://open.spotify.com/artist/7Gh6fW49xfXLP8DTWaLVJP</a>",Giapponese
YUI,5WBO8UyOuJ1l7ZBqqBimpO,j-pop,54,480072,"<a href=""https://open.spotify.com/artist/5WBO8UyOuJ1l7ZBqqBimpO"" target=""_blank"">https://open.spotify.com/artist/5WBO8UyOuJ1l7ZBqqBimpO</a>",Giapponese
SEKAI NO OWARI,7HwzlRPa9Ad0I8rK0FPzzK,anime,64,2293827,"<a href=""https://open.spotify.com/artist/7HwzlRPa9Ad0I8rK0FPzzK"" target=""_blank"">https://open.spotify.com/artist/7HwzlRPa9Ad0I8rK0FPzzK</a>",Giapponese
ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,j-pop,67,2282845,"<a href=""https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik"" target=""_blank"">https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik</a>",Giapponese
LiSA,0blbVefuxOGltDBa00dspv,anime,66,3010140,"<a href=""https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv"" target=""_blank"">https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv</a>",Giapponese
Tokyo Incidents,6KQWWzFLPQbqomJrieHAW5,anime,51,780995,"<a href=""https://open.spotify.com/artist/6KQWWzFLPQbqomJrieHAW5"" target=""_blank"">https://open.spotify.com/artist/6KQWWzFLPQbqomJrieHAW5</a>",Giapponese
Gesu No Kiwami Otome,1ieluXFoq2RRxMXZIQksTz,j-pop,47,383002,"<a href=""https://open.spotify.com/artist/1ieluXFoq2RRxMXZIQksTz"" target=""_blank"">https://open.spotify.com/artist/1ieluXFoq2RRxMXZIQksTz</a>",Giapponese
ASIAN KUNG-FU GENERATION,0MK8l3nURwwQIjafvXoJJt,anime,57,1013330,"<a href=""https://open.spotify.com/artist/0MK8l3nURwwQIjafvXoJJt"" target=""_blank"">https://open.spotify.com/artist/0MK8l3nURwwQIjafvXoJJt</a>",Giapponese
Nana Mizuki,0W2x7650Lt2CEIIcLHXmsE,anime,45,252633,"<a href=""https://open.spotify.com/artist/0W2x7650Lt2CEIIcLHXmsE"" target=""_blank"">https://open.spotify.com/artist/0W2x7650Lt2CEIIcLHXmsE</a>",Giapponese
Angela Aki,7if7UQ2RpiPgIvUkgomgR7,j-pop,37,125010,"<a href=""https://open.spotify.com/artist/7if7UQ2RpiPgIvUkgomgR7"" target=""_blank"">https://open.spotify.com/artist/7if7UQ2RpiPgIvUkgomgR7</a>",Giapponese
Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,japanese teen pop,70,2758191,"<a href=""https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi"" target=""_blank"">https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi</a>",Giapponese
Momoiro Clover Z,3Zl0EsuYV23OgNw6WqGelN,denpa-kei,45,207167,"<a href=""https://open.spotify.com/artist/3Zl0EsuYV23OgNw6WqGelN"" target=""_blank"">https://open.spotify.com/artist/3Zl0EsuYV23OgNw6WqGelN</a>",Giapponese
NMB48,1DdzMfvcBzMgdX5iPu69wk,48g,37,80344,"<a href=""https://open.spotify.com/artist/1DdzMfvcBzMgdX5iPu69wk"" target=""_blank"">https://open.spotify.com/artist/1DdzMfvcBzMgdX5iPu69wk</a>",Giapponese
HKT48,4gEIINdqeWnlTnmdsCUVBf,48g,31,70064,"<a href=""https://open.spotify.com/artist/4gEIINdqeWnlTnmdsCUVBf"" target=""_blank"">https://open.spotify.com/artist/4gEIINdqeWnlTnmdsCUVBf</a>",Giapponese
RADWIMPS,1EowJ1WwkMzkCkRomFhui7,j-pop,69,3668939,"<a href=""https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7"" target=""_blank"">https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7</a>",Giapponese
UVERworld,6m14xgA0m3w92UM7ujJgky,anime,57,1122484,"<a href=""https://open.spotify.com/artist/6m14xgA0m3w92UM7ujJgky"" target=""_blank"">https://open.spotify.com/artist/6m14xgA0m3w92UM7ujJgky</a>",Giapponese
GReeeeN,14T8NkbwXVZgbOvwnuGV89,j-pop,59,2257404,"<a href=""https://open.spotify.com/artist/14T8NkbwXVZgbOvwnuGV89"" target=""_blank"">https://open.spotify.com/artist/14T8NkbwXVZgbOvwnuGV89</a>",Giapponese
Kyu Sakamoto,3WKkjW8B7x5UZmfC9pnDmN,enka,36,27947,"<a href=""https://open.spotify.com/artist/3WKkjW8B7x5UZmfC9pnDmN"" target=""_blank"">https://open.spotify.com/artist/3WKkjW8B7x5UZmfC9pnDmN</a>",Giapponese
PornoGraffitti,5jQa0f5MIMPEK7udL7UpI6,j-pop,55,840983,"<a href=""https://open.spotify.com/artist/5jQa0f5MIMPEK7udL7UpI6"" target=""_blank"">https://open.spotify.com/artist/5jQa0f5MIMPEK7udL7UpI6</a>",Giapponese
Uru,6le80R1opKnTlP4o3KvA2k,j-pop,58,813750,"<a href=""https://open.spotify.com/artist/6le80R1opKnTlP4o3KvA2k"" target=""_blank"">https://open.spotify.com/artist/6le80R1opKnTlP4o3KvA2k</a>",Giapponese
Shota Shimizu,2ZjWbNQAjL74Pf4aqikIz2,j-pop,59,1474148,"<a href=""https://open.spotify.com/artist/2ZjWbNQAjL74Pf4aqikIz2"" target=""_blank"">https://open.spotify.com/artist/2ZjWbNQAjL74Pf4aqikIz2</a>",Giapponese
サザンオールスターズ,79nkC8XZ5ohEVU0Xlf5Ael,classic j-pop,63,1549193,"<a href=""https://open.spotify.com/artist/79nkC8XZ5ohEVU0Xlf5Ael"" target=""_blank"">https://open.spotify.com/artist/79nkC8XZ5ohEVU0Xlf5Ael</a>",Giapponese
Wink,43sb4bVUPB5mWHAsm9bdT5,classic city pop,38,91449,"<a href=""https://open.spotify.com/artist/43sb4bVUPB5mWHAsm9bdT5"" target=""_blank"">https://open.spotify.com/artist/43sb4bVUPB5mWHAsm9bdT5</a>",Giapponese
Yoko Oginome,6yqXW1ZKNeDm04DguLHoJk,classic city pop,37,87970,"<a href=""https://open.spotify.com/artist/6yqXW1ZKNeDm04DguLHoJk"" target=""_blank"">https://open.spotify.com/artist/6yqXW1ZKNeDm04DguLHoJk</a>",Giapponese
Akiko Shikata,02cA6HOfFA5oEYiEw67Ckn,doujin,18,28873,"<a href=""https://open.spotify.com/artist/02cA6HOfFA5oEYiEw67Ckn"" target=""_blank"">https://open.spotify.com/artist/02cA6HOfFA5oEYiEw67Ckn</a>",Giapponese
Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,modern alternative rock,59,839187,"<a href=""https://open.spotify.com/artist/0yb46jwm7gqbZXVXZQ8Z1e"" target=""_blank"">https://open.spotify.com/artist/0yb46jwm7gqbZXVXZQ8Z1e</a>",Giapponese
Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,japanese teen pop,70,2758191,"<a href=""https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi"" target=""_blank"">https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi</a>",Giapponese
Hinatazaka46,0eQSoTI7sQENREQM8Klp2j,j-pop girl group,48,304634,"<a href=""https://open.spotify.com/artist/0eQSoTI7sQENREQM8Klp2j"" target=""_blank"">https://open.spotify.com/artist/0eQSoTI7sQENREQM8Klp2j</a>",Giapponese
Momoiro Clover Z,3Zl0EsuYV23OgNw6WqGelN,denpa-kei,45,207167,"<a href=""https://open.spotify.com/artist/3Zl0EsuYV23OgNw6WqGelN"" target=""_blank"">https://open.spotify.com/artist/3Zl0EsuYV23OgNw6WqGelN</a>",Giapponese
Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,art pop,49,382163,"<a href=""https://open.spotify.com/artist/2ueoLVCXQ948OfhVvAy3Nn"" target=""_blank"">https://open.spotify.com/artist/2ueoLVCXQ948OfhVvAy3Nn</a>",Giapponese
PornoGraffitti,5jQa0f5MIMPEK7udL7UpI6,j-pop,55,840983,"<a href=""https://open.spotify.com/artist/5jQa0f5MIMPEK7udL7UpI6"" target=""_blank"">https://open.spotify.com/artist/5jQa0f5MIMPEK7udL7UpI6</a>",Giapponese
King Princess,6beUvFUlKliUYJdLOXNj9C,alt z,56,1720657,"<a href=""https://open.spotify.com/artist/6beUvFUlKliUYJdLOXNj9C"" target=""_blank"">https://open.spotify.com/artist/6beUvFUlKliUYJdLOXNj9C</a>",Giapponese
Janji,5VXPJC0PNpJbzB10A39G8E,gaming edm,47,83043,"<a href=""https://open.spotify.com/artist/5VXPJC0PNpJbzB10A39G8E"" target=""_blank"">https://open.spotify.com/artist/5VXPJC0PNpJbzB10A39G8E</a>",Giapponese
Nogizaka46,08lN7bm4Etec8ETFxaTUmq,j-idol,58,1221445,"<a href=""https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq"" target=""_blank"">https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq</a>",Giapponese
MIYAVI,7sBtBCNVRujQhaHDODkfTN,visual kei,50,296180,"<a href=""https://open.spotify.com/artist/7sBtBCNVRujQhaHDODkfTN"" target=""_blank"">https://open.spotify.com/artist/7sBtBCNVRujQhaHDODkfTN</a>",Giapponese
Momoko Kikuchi,0gT302jqzDIhNWY8YpzDCs,classic city pop,39,31061,"<a href=""https://open.spotify.com/artist/0gT302jqzDIhNWY8YpzDCs"" target=""_blank"">https://open.spotify.com/artist/0gT302jqzDIhNWY8YpzDCs</a>",Giapponese
Yuki Saitou,5ySccSThgufSUXyDQHnLae,classic city pop,28,5855,"<a href=""https://open.spotify.com/artist/5ySccSThgufSUXyDQHnLae"" target=""_blank"">https://open.spotify.com/artist/5ySccSThgufSUXyDQHnLae</a>",Giapponese
PornoGraffitti,5jQa0f5MIMPEK7udL7UpI6,j-pop,55,840983,"<a href=""https://open.spotify.com/artist/5jQa0f5MIMPEK7udL7UpI6"" target=""_blank"">https://open.spotify.com/artist/5jQa0f5MIMPEK7udL7UpI6</a>",Giapponese
Keisuke Kuwata,6YIqgghQqnkNne8BKQpW6v,j-pop,53,676221,"<a href=""https://open.spotify.com/artist/6YIqgghQqnkNne8BKQpW6v"" target=""_blank"">https://open.spotify.com/artist/6YIqgghQqnkNne8BKQpW6v</a>",Giapponese
Ikimonogakari,5YneEA2nLtAhkD5t2769lZ,anime,58,1292075,"<a href=""https://open.spotify.com/artist/5YneEA2nLtAhkD5t2769lZ"" target=""_blank"">https://open.spotify.com/artist/5YneEA2nLtAhkD5t2769lZ</a>",Giapponese
Spitzgefühl,1sxYUZPD5cbz9jqdNqR3lk,lo-fi sleep,37,69,"<a href=""https://open.spotify.com/artist/1sxYUZPD5cbz9jqdNqR3lk"" target=""_blank"">https://open.spotify.com/artist/1sxYUZPD5cbz9jqdNqR3lk</a>",Giapponese
The Blue Hearts,5b1NQwr0WpJwTrTRmHfjZw,,4,33621,"<a href=""https://open.spotify.com/artist/5b1NQwr0WpJwTrTRmHfjZw"" target=""_blank"">https://open.spotify.com/artist/5b1NQwr0WpJwTrTRmHfjZw</a>",Giapponese
Dragon Ash,2wDlv5Qp9pffOqnO4vdn8L,anime,42,285864,"<a href=""https://open.spotify.com/artist/2wDlv5Qp9pffOqnO4vdn8L"" target=""_blank"">https://open.spotify.com/artist/2wDlv5Qp9pffOqnO4vdn8L</a>",Giapponese
Kinki Kinsey,12SbWjBFSiadgAy7aZewv8,,0,17,"<a href=""https://open.spotify.com/artist/12SbWjBFSiadgAy7aZewv8"" target=""_blank"">https://open.spotify.com/artist/12SbWjBFSiadgAy7aZewv8</a>",Giapponese
YUZU,7lNFzeAXmSIKexINNgO6bu,j-acoustic,52,1777227,"<a href=""https://open.spotify.com/artist/7lNFzeAXmSIKexINNgO6bu"" target=""_blank"">https://open.spotify.com/artist/7lNFzeAXmSIKexINNgO6bu</a>",Giapponese
HKT48,4gEIINdqeWnlTnmdsCUVBf,48g,31,70064,"<a href=""https://open.spotify.com/artist/4gEIINdqeWnlTnmdsCUVBf"" target=""_blank"">https://open.spotify.com/artist/4gEIINdqeWnlTnmdsCUVBf</a>",Giapponese
KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,ectofolk,58,406461,"<a href=""https://open.spotify.com/artist/5zzrJD2jXrE9dZ1AklRFcL"" target=""_blank"">https://open.spotify.com/artist/5zzrJD2jXrE9dZ1AklRFcL</a>",Giapponese
DREAMS COME TRUE,2mJOGcLR3aCHkM1uAF93or,classic j-pop,58,1483102,"<a href=""https://open.spotify.com/artist/2mJOGcLR3aCHkM1uAF93or"" target=""_blank"">https://open.spotify.com/artist/2mJOGcLR3aCHkM1uAF93or</a>",Giapponese
back number,6rs1KAoQnFalSqSU4LTh8g,j-pop,70,4196298,"<a href=""https://open.spotify.com/artist/6rs1KAoQnFalSqSU4LTh8g"" target=""_blank"">https://open.spotify.com/artist/6rs1KAoQnFalSqSU4LTh8g</a>",Giapponese
Sapobully,2u5doTfPeC2gnLwislKGLE,italian hip hop,39,65896,"<a href=""https://open.spotify.com/artist/2u5doTfPeC2gnLwislKGLE"" target=""_blank"">https://open.spotify.com/artist/2u5doTfPeC2gnLwislKGLE</a>",Giapponese
Mina,3HL1CyOnDLFJo1Rr8YBlKy,classic italian pop,59,801360,"<a href=""https://open.spotify.com/artist/3HL1CyOnDLFJo1Rr8YBlKy"" target=""_blank"">https://open.spotify.com/artist/3HL1CyOnDLFJo1Rr8YBlKy</a>",Giapponese
Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,art pop,49,382163,"<a href=""https://open.spotify.com/artist/2ueoLVCXQ948OfhVvAy3Nn"" target=""_blank"">https://open.spotify.com/artist/2ueoLVCXQ948OfhVvAy3Nn</a>",Giapponese
Tatsuro Yamashita,41hQ0PoEyj9xEBhwt73aWC,classic city pop,34,253122,"<a href=""https://open.spotify.com/artist/41hQ0PoEyj9xEBhwt73aWC"" target=""_blank"">https://open.spotify.com/artist/41hQ0PoEyj9xEBhwt73aWC</a>",Giapponese
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,anime,69,5451804,"<a href=""https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB"" target=""_blank"">https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB</a>",Giapponese
Kyary Pamyu Pamyu,7Gh6fW49xfXLP8DTWaLVJP,j-idol,47,458517,"<a href=""https://open.spotify.com/artist/7Gh6fW49xfXLP8DTWaLVJP"" target=""_blank"">https://open.spotify.com/artist/7Gh6fW49xfXLP8DTWaLVJP</a>",Giapponese
E-girls,6CKN3GUiWMrESH1RKn3ecz,j-idol,43,484227,"<a href=""https://open.spotify.com/artist/6CKN3GUiWMrESH1RKn3ecz"" target=""_blank"">https://open.spotify.com/artist/6CKN3GUiWMrESH1RKn3ecz</a>",Giapponese
Newsboys,1SZMaiNHfdUuU0qZKZ6y62,ccm,54,1149335,"<a href=""https://open.spotify.com/artist/1SZMaiNHfdUuU0qZKZ6y62"" target=""_blank"">https://open.spotify.com/artist/1SZMaiNHfdUuU0qZKZ6y62</a>",Giapponese
AKB48,01wau5CL3Z1vfJJWkzBkqg,48g,52,451500,"<a href=""https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg"" target=""_blank"">https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg</a>",Giapponese
ARASHI,42WnPuAjfmjQudy4mRMPiX,r&b italiano,6,1410,"<a href=""https://open.spotify.com/artist/42WnPuAjfmjQudy4mRMPiX"" target=""_blank"">https://open.spotify.com/artist/42WnPuAjfmjQudy4mRMPiX</a>",Giapponese
Gen Hoshino,1S2S00lgLYLGHWA44qGEUs,j-acoustic,59,1788771,"<a href=""https://open.spotify.com/artist/1S2S00lgLYLGHWA44qGEUs"" target=""_blank"">https://open.spotify.com/artist/1S2S00lgLYLGHWA44qGEUs</a>",Giapponese
EXILED,48sH4a4VWQu2ffFaUxuMbb,,45,671,"<a href=""https://open.spotify.com/artist/48sH4a4VWQu2ffFaUxuMbb"" target=""_blank"">https://open.spotify.com/artist/48sH4a4VWQu2ffFaUxuMbb</a>",Giapponese
Kana Nishino,4DDoAL8n6ob19r3jOZEbJI,j-pop,57,1565735,"<a href=""https://open.spotify.com/artist/4DDoAL8n6ob19r3jOZEbJI"" target=""_blank"">https://open.spotify.com/artist/4DDoAL8n6ob19r3jOZEbJI</a>",Giapponese
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,anime,69,5451804,"<a href=""https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB"" target=""_blank"">https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB</a>",Giapponese
Nogizaka46,08lN7bm4Etec8ETFxaTUmq,j-idol,58,1221445,"<a href=""https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq"" target=""_blank"">https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq</a>",Giapponese
LiSA,0blbVefuxOGltDBa00dspv,anime,66,3010140,"<a href=""https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv"" target=""_blank"">https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv</a>",Giapponese
Aimer,0bAsR2unSRpn6BQPEnNlZm,anime,63,2367867,"<a href=""https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm"" target=""_blank"">https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm</a>",Giapponese
INNA,2w9zwq3AktTeYYMuhMjju8,dance pop,66,1264196,"<a href=""https://open.spotify.com/artist/2w9zwq3AktTeYYMuhMjju8"" target=""_blank"">https://open.spotify.com/artist/2w9zwq3AktTeYYMuhMjju8</a>",Rumena
